Year,Climate index
1950,
1951,
1952,0.195
1953,0.265
1954,0.13
1955,0.045
1956,0.135
1957,-0.21500000000000002
1958,-0.45500000000000007
1959,-0.38500000000000006
1960,-0.08000000000000002
1961,0.48000000000000004
1962,1.015
1963,1.5899999999999999
1964,1.8649999999999998
1965,2.1149999999999998
1966,2.9449999999999994
1967,3.544999999999999
1968,3.829999999999999
1969,4.449999999999999
1970,4.979999999999999
1971,5.309999999999999
1972,5.0299999999999985
1973,4.324999999999998
1974,3.7799999999999985
1975,3.3499999999999983
1976,3.1149999999999984
1977,3.1099999999999985
1978,3.2499999999999987
1979,3.3099999999999987
1980,3.429999999999999
1981,3.8149999999999986
1982,3.8399999999999985
1983,3.2849999999999984
1984,2.3249999999999984
1985,1.1699999999999982
1986,0.4649999999999981
1987,0.119999999999998
1988,-0.2550000000000021
1989,-0.9050000000000022
1990,-1.8700000000000023
1991,-3.0950000000000024
1992,-4.280000000000003
1993,-5.460000000000003
1994,-6.575000000000003
1995,-7.320000000000003
1996,-7.5050000000000034
1997,-7.575000000000004
1998,-7.870000000000004
1999,-7.765000000000004
2000,-7.520000000000004
2001,-7.3300000000000045
2002,-7.335000000000004
2003,-7.535000000000005
2004,-7.275000000000005
2005,-6.775000000000005
2006,-6.195000000000005
2007,-5.8700000000000045
2008,-6.035000000000005
2009,-6.305000000000005
2010,-5.830000000000005
2011,-4.620000000000005
2012,-3.9500000000000055
2013,-3.5050000000000057
2014,-3.345000000000006
2015,-3.775000000000006
2016,-4.135000000000006
2017,-4.355000000000007
2018,-4.270000000000007
2019,-4.060000000000007
2020,-3.765000000000007
2021,-2.715000000000007
